,year,neighbourhood,average_house_value
0,2001,Agincourt North,200388
1,2001,Rockcliffe-Smythe,210017
2,2001,Rexdale-Kipling,219337
3,2001,Regent Park,238524
4,2001,Princess-Rosethorn,465254
5,2001,Pleasant View,226856
6,2001,Playter Estates-Danforth,394235
7,2001,Pelmo Park-Humberlea,246333
8,2001,Parkwoods-Donalda,276239
9,2001,Palmerston-Little Italy,378033
10,2001,Old East York,269410
11,2001,Oakwood Village,268067
12,2001,Oakridge,256556
13,2001,O'Connor-Parkview,181251
14,2001,North St.James Town,249993
15,2001,North Riverdale,427169
16,2001,Niagara,224801
17,2001,Newtonbrook West,279833
18,2001,Long Branch,234424
19,2001,Malvern,156076
20,2001,Maple Leaf,275374
21,2001,Markland Wood,269751
22,2001,Milliken,209609
23,2001,Mimico,239078
24,2001,Roncesvalles,309221
25,2001,Morningside,173169
26,2001,Mount Dennis,159374
27,2001,Mount Olive-Silverstone-Jamestown,153829
28,2001,Mount Pleasant East,411558
29,2001,Mount Pleasant West,284459
30,2001,New Toronto,247779
31,2001,Newtonbrook East,339987
32,2001,Moss Park,248778
33,2001,Rouge,228625
34,2001,Runnymede-Bloor West Village,335435
35,2001,Rustic,261923
36,2001,Weston,187140
37,2001,Weston-Pellam Park,213749
38,2001,Wexford/Maryvale,211633
39,2001,Willowdale East,284984
40,2001,Willowdale West,283215
41,2001,Willowridge-Martingrove-Richview,282087
42,2001,Westminster-Branson,212241
43,2001,Woburn,181367
44,2001,Woodbine-Lumsden,224756
45,2001,Wychwood,343877
46,2001,Yonge-Eglinton,491987
47,2001,Yonge-St.Clair,494098
48,2001,York University Heights,185859
49,2001,Yorkdale-Glen Park,261784
50,2001,Woodbine Corridor,270607
51,2001,Little Portugal,328211
52,2001,West Humber-Clairville,208555
53,2001,Waterfront Communities-The Island,228975
54,2001,Scarborough Village,200402
55,2001,South Parkdale,271880
56,2001,South Riverdale,276462
57,2001,St.Andrew-Windfields,607040
58,2001,Steeles,228460
59,2001,Stonegate-Queensway,334433
60,2001,West Hill,172947
61,2001,Tam O'Shanter-Sullivan,215039
62,2001,The Beaches,404836
63,2001,Thistletown-Beaumond Heights,228368
64,2001,Thorncliffe Park,155094
65,2001,Trinity-Bellwoods,324732
66,2001,University,375678
67,2001,Victoria Village,213950
68,2001,Taylor-Massey,145464
69,2001,Leaside-Bennington,489998
70,2001,Rosedale-Moore Park,664476
71,2001,Lawrence Park North,461393
72,2001,Cabbagetown-South St.James Town,300213
73,2001,Caledonia-Fairbank,219771
74,2001,Casa Loma,596077
75,2001,Centennial Scarborough,249025
76,2001,Church-Yonge Corridor,246750
77,2001,Clairlea-Birchmount,215421
78,2001,Brookhaven-Amesbury,213227
79,2001,Clanton Park,335119
80,2001,Corso Italia-Davenport,255142
81,2001,Danforth,283706
82,2001,Danforth-East York,256205
83,2001,Don Valley Village,241824
84,2001,Dorset Park,159187
85,2001,Dovercourt-Wallace Emerson-Juncti,264116
86,2001,Cliffcrest,253618
87,2001,Downsview-Roding-CFB,231741
88,2001,Broadview North,269386
89,2001,Briar Hill-Belgravia,222086
90,2001,Lawrence Park South,664712
91,2001,Alderwood,259998
92,2001,Annex,453850
93,2001,Banbury-Don Mills,371864
94,2001,Bathurst Manor,304749
95,2001,Bay Street Corridor,257404
